city_name,city_id,date,temp,temp_min,temp_max,humidity,pressure,wind,pop,rain,type_weather,description
Mont Saint Michel,1,2025-06-07,16.19,12.74,17.61,82,1011,251,100,9.35,Rain,light rain
Mont Saint Michel,1,2025-06-08,16.46,10.75,16.54,61,1023,285,100,0.14,Rain,light rain
Mont Saint Michel,1,2025-06-09,18.29,9.44,19.28,57,1025,349,0,0,Clouds,broken clouds
Mont Saint Michel,1,2025-06-10,18.62,10.39,18.63,63,1022,324,0,0,Clouds,scattered clouds
Mont Saint Michel,1,2025-06-11,25.76,12.43,27.55,51,1014,118,20.0,0.19,Rain,light rain
Mont Saint Michel,1,2025-06-12,23.48,16.78,23.48,59,1013,210,100,0.94,Rain,light rain
Mont Saint Michel,1,2025-06-13,23.67,14.34,23.67,58,1015,330,21.0,0.18,Rain,light rain
Mont Saint Michel,1,2025-06-14,18.89,12.99,18.89,63,1020,315,88.0,1.47,Rain,light rain
St Malo,2,2025-06-07,16.23,12.77,17.41,81,1011,275,100,5.64,Rain,light rain
St Malo,2,2025-06-08,15.68,11.95,15.75,65,1023,289,87.0,0,Clear,clear sky
St Malo,2,2025-06-09,16.96,11.08,17.86,60,1025,17,0,0,Clouds,broken clouds
St Malo,2,2025-06-10,17.21,12.75,17.53,68,1022,347,0,0,Clouds,scattered clouds
St Malo,2,2025-06-11,22.84,13.7,25.14,60,1014,92,20.0,0.17,Rain,light rain
St Malo,2,2025-06-12,21.43,16.32,21.45,67,1013,221,100,6.96,Rain,moderate rain
St Malo,2,2025-06-13,21.61,14.68,21.61,64,1016,340,100,0.84,Rain,light rain
St Malo,2,2025-06-14,18.33,13.82,18.33,67,1020,267,73.0,1.65,Rain,light rain
Bayeux,3,2025-06-07,16.14,12.2,16.55,87,1010,255,100,5.81,Rain,light rain
Bayeux,3,2025-06-08,17.52,8.53,17.55,52,1022,286,48.0,0,Clear,clear sky
Bayeux,3,2025-06-09,18.39,8.51,18.97,58,1025,245,0,0,Clouds,broken clouds
Bayeux,3,2025-06-10,20.35,9.64,20.35,60,1021,352,0,0,Clouds,broken clouds
Bayeux,3,2025-06-11,24.43,11.36,25.34,53,1016,103,39.0,0.23,Rain,light rain
Bayeux,3,2025-06-12,24.62,17.43,24.62,55,1013,212,100,0.69,Rain,light rain
Bayeux,3,2025-06-13,24.77,14.48,24.77,62,1015,12,92.0,1.38,Rain,light rain
Bayeux,3,2025-06-14,20.8,11.82,20.8,48,1019,263,100,2.43,Rain,light rain
Le Havre,4,2025-06-07,14.51,13.05,16.29,94,1010,262,100,11.86,Rain,moderate rain
Le Havre,4,2025-06-08,14.44,13.04,14.65,68,1022,288,100,0.45,Rain,light rain
Le Havre,4,2025-06-09,15.43,12.54,16.16,67,1025,266,0,0,Clouds,broken clouds
Le Havre,4,2025-06-10,15.43,13.44,15.94,76,1022,259,0,0,Clouds,broken clouds
Le Havre,4,2025-06-11,21.72,13.34,24.06,59,1016,104,0,0,Clouds,broken clouds
Le Havre,4,2025-06-12,19.3,17.36,19.31,81,1014,345,41.0,0.86,Rain,light rain
Le Havre,4,2025-06-13,18.26,16.26,18.26,84,1016,3,100,4.44,Rain,light rain
Le Havre,4,2025-06-14,17.01,15.6,17.45,74,1020,253,100,2.16,Rain,light rain
Rouen,5,2025-06-07,14.7,12.83,16.6,89,1011,254,100,11,Rain,moderate rain
Rouen,5,2025-06-08,17.41,8.99,17.9,49,1021,282,80.0,0,Clouds,scattered clouds
Rouen,5,2025-06-09,18.84,8.21,21.1,53,1025,290,0,0,Clouds,broken clouds
Rouen,5,2025-06-10,21.19,10.14,22.04,52,1021,275,0,0,Clouds,broken clouds
Rouen,5,2025-06-11,24.87,11.44,26.29,48,1017,92,0,0,Clouds,scattered clouds
Rouen,5,2025-06-12,26.63,17.47,26.91,56,1013,107,39.0,0.27,Rain,light rain
Rouen,5,2025-06-13,26.75,16.87,27.35,57,1015,342,100,9.6,Rain,moderate rain
Rouen,5,2025-06-14,22.14,13.32,22.14,57,1019,289,100,7.89,Rain,moderate rain
Paris,6,2025-06-07,17.6,13.31,19.36,69,1012,233,100,4.45,Rain,light rain
Paris,6,2025-06-08,17.79,11.43,20.47,47,1021,238,100,1.42,Rain,light rain
Paris,6,2025-06-09,21.17,11.19,23.5,38,1025,288,0,0,Clouds,broken clouds
